id,full_name,phone,email,gender,date_of_birth,city,state,country,customer_segment,education,customer_source
1,Danita Sherar,515-378-4144,dsherar0@spiegel.de,Female,01/11/1978,Des Moines,IA,US,government,bachelor's degree,social marketing
2,Gilli Hampshaw,719-374-9870,ghampshaw1@webnode.com,Agender,08/12/1984,Colorado Springs,CO,US,wholesale,high school,social marketing
3,Kimberlee Rehn,702-828-0473,krehn2@opensource.org,Female,02/20/1976,Las Vegas,NV,US,government,doctorate,affiliate marketing
4,Natty Tufts,508-454-6773,ntufts3@google.co.uk,Male,04/19/2006,Boston,MA,US,retail,high school,social marketing
5,Leon Harridge,808-727-3617,lharridge4@bbb.org,Male,09/26/1997,Honolulu,HI,US,corporate,some college,social marketing
6,Yovonnda Benoi,770-583-0349,ybenoi5@blinklist.com,Genderfluid,05/29/1971,Atlanta,GA,US,retail,some college,affiliate marketing
7,Adolphe Nisen,901-695-1664,anisen6@yahoo.co.jp,Male,10/20/1996,Memphis,TN,US,wholesale,doctorate,customer referrals
8,Harrietta Drewry,312-926-8894,hdrewry7@sakura.ne.jp,Female,07/20/1973,Chicago,IL,US,corporate,master's degree,word of mouth
9,Gusella Croll,318-537-8717,gcroll8@cdc.gov,Female,12/27/1975,Monroe,LA,US,retail,doctorate,affiliate marketing
10,Kayle Tousy,402-165-7100,ktousy9@vinaora.com,Female,01/06/2005,Lincoln,NE,US,retail,high school,social marketing
11,Slade Dain,919-238-3201,sdaina@gizmodo.com,Male,12/17/2007,Raleigh,NC,US,wholesale,doctorate,customer referrals
12,Nedda Van der Hoeven,601-770-7883,nvanb@icio.us,Female,08/11/2000,Jackson,MS,US,individual,other,customer referrals
13,Desirae Lubbock,718-733-3434,dlubbockc@harvard.edu,Female,07/06/1972,Brooklyn,NY,US,partners,master's degree,customer referrals
14,Gerrie Pietranek,210-547-1683,gpietranekd@amazon.com,Male,11/15/1977,San Antonio,TX,US,partners,doctorate,affiliate marketing
15,Dougy Warlock,937-337-8085,dwarlocke@upenn.edu,Male,09/23/1993,Dayton,OH,US,corporate,master's degree,social marketing
16,Anette Mapstone,951-194-7517,amapstonef@arizona.edu,Female,11/16/1989,Corona,CA,US,partners,high school,word of mouth
17,Sammy Taggart,310-262-0220,staggartg@google.com.au,Female,06/19/1991,Santa Monica,CA,US,individual,high school,word of mouth
18,Ardyce McGlaud,360-236-0373,amcglaudh@prnewswire.com,Female,01/13/2005,Vancouver,WA,US,individual,master's degree,word of mouth
19,Christoforo Titherington,828-353-6698,ctitheringtoni@dion.ne.jp,Male,03/01/1991,Asheville,NC,US,partners,master's degree,customer referrals
20,Spense Fiveash,203-656-9403,sfiveashj@furl.net,Male,12/25/1982,New Haven,CT,US,wholesale,master's degree,social marketing
21,Nilson Tallach,205-854-7741,ntallachk@exblog.jp,Male,06/21/1978,Birmingham,AL,US,retail,other,social marketing
22,Lucine Dockray,570-150-6510,ldockrayl@jugem.jp,Female,09/15/2004,Wilkes Barre,PA,US,government,high school,social marketing
23,Lynnette Cruickshank,913-454-2991,lcruickshankm@globo.com,Female,08/06/1970,Shawnee Mission,KS,US,corporate,high school,word of mouth
24,Carmelia Primo,812-186-4787,cprimon@unesco.org,Female,08/20/2000,Terre Haute,IN,US,government,high school,word of mouth
25,Linette Deftie,213-895-5474,ldeftieo@ed.gov,Female,03/12/1993,Los Angeles,CA,US,individual,master's degree,customer referrals
26,Kelley Dreghorn,210-422-6595,kdreghornp@liveinternet.ru,Female,08/13/2003,San Antonio,TX,US,individual,doctorate,affiliate marketing
27,Kass Condy,407-353-9557,kcondyq@lycos.com,Female,01/23/1993,Orlando,FL,US,individual,master's degree,affiliate marketing
28,Em Eggleton,315-185-8460,eeggletonr@xing.com,Female,09/12/1973,Syracuse,NY,US,individual,high school,customer referrals
29,Harrie Colthurst,786-946-3729,hcolthursts@amazon.de,Bigender,10/19/1995,Miami,FL,US,partners,other,customer referrals
30,Neda Larrosa,914-977-1934,nlarrosat@unicef.org,Female,02/27/1972,White Plains,NY,US,wholesale,doctorate,social marketing
31,Mylo Fowden,915-447-7836,mfowdenu@wp.com,Male,07/18/1975,El Paso,TX,US,partners,master's degree,customer referrals
32,Lorrin Stanlick,503-109-0294,lstanlickv@accuweather.com,Female,03/18/1991,Beaverton,OR,US,wholesale,other,customer referrals
33,Steffen Abatelli,305-486-9971,sabatelliw@webmd.com,Male,01/23/1997,Naples,FL,US,partners,master's degree,social marketing
34,Brinna Allaker,850-269-7301,ballakerx@apple.com,Female,10/29/1998,Tallahassee,FL,US,corporate,master's degree,customer referrals
35,Farris Juares,615-314-1616,fjuaresy@flavors.me,Male,09/24/1999,Memphis,TN,US,partners,doctorate,customer referrals
36,Clement Pancost,267-199-3655,cpancostz@meetup.com,Male,07/06/1979,Philadelphia,PA,US,corporate,high school,affiliate marketing
37,Calida Row,502-819-0918,crow10@google.fr,Female,01/16/2007,Louisville,KY,US,retail,some college,word of mouth
38,Lenore Gaytor,907-730-5591,lgaytor11@chronoengine.com,Agender,03/19/2003,Anchorage,AK,US,retail,other,customer referrals
39,Louie Stern,510-591-6642,lstern12@w3.org,Male,12/20/1974,Berkeley,CA,US,corporate,bachelor's degree,affiliate marketing
40,Alexandra McIvor,724-943-4842,amcivor13@omniture.com,Female,11/23/1983,New Castle,PA,US,government,bachelor's degree,customer referrals
41,Horton Carus,303-332-0409,hcarus14@smh.com.au,Male,11/15/1994,Boulder,CO,US,corporate,high school,word of mouth
42,Antonietta D'Angeli,318-569-8103,adangeli15@sfgate.com,Polygender,01/10/2000,Shreveport,LA,US,retail,high school,social marketing
43,Falito Bernardoux,907-401-0275,fbernardoux16@un.org,Male,07/17/2002,Fairbanks,AK,US,government,some college,word of mouth
44,Gilli Cinelli,614-441-2558,gcinelli17@bigcartel.com,Female,07/08/2005,Columbus,OH,US,partners,some college,affiliate marketing
45,Baily Whaley,816-663-3715,bwhaley18@sohu.com,Non-binary,04/06/1976,Kansas City,MO,US,retail,bachelor's degree,word of mouth
46,Georg Lillistone,405-241-8718,glillistone19@sbwire.com,Male,12/17/1991,Oklahoma City,OK,US,partners,bachelor's degree,affiliate marketing
47,Magda Haskew,314-738-1445,mhaskew1a@blogspot.com,Female,01/28/1991,Saint Louis,MO,US,government,master's degree,customer referrals
48,Merridie Aloshkin,865-557-3847,maloshkin1b@bing.com,Female,03/22/1973,Knoxville,TN,US,wholesale,doctorate,word of mouth
49,Carita Ales,702-245-9233,cales1c@census.gov,Genderfluid,12/25/1990,Las Vegas,NV,US,retail,high school,affiliate marketing
50,Ianthe Mixon,605-283-1478,imixon1d@acquirethisname.com,Female,04/01/1986,Sioux Falls,SD,US,individual,master's degree,customer referrals
51,Kay Danielczyk,617-941-3714,kdanielczyk1e@google.ca,Female,05/23/1975,Boston,MA,US,individual,doctorate,customer referrals
52,Norah Doughill,806-239-2504,ndoughill1f@theatlantic.com,Female,05/31/1974,Amarillo,TX,US,individual,other,affiliate marketing
53,Chuck Inglis,504-636-8376,cinglis1g@zdnet.com,Male,04/22/1985,New Orleans,LA,US,government,other,social marketing
54,Mehetabel Crabtree,949-538-7666,mcrabtree1h@indiatimes.com,Female,02/14/1981,Irvine,CA,US,individual,some college,word of mouth
55,Devondra Lambotin,314-451-9729,dlambotin1i@pinterest.com,Non-binary,03/25/1972,Saint Louis,MO,US,retail,master's degree,customer referrals
56,Claus Brushfield,478-106-5004,cbrushfield1j@jiathis.com,Male,08/10/1991,Macon,GA,US,wholesale,doctorate,affiliate marketing
57,Rene Proger,512-695-2432,rproger1k@pen.io,Male,01/04/1989,Austin,TX,US,corporate,some college,affiliate marketing
58,Fanya Hannabus,208-258-5115,fhannabus1l@tmall.com,Female,01/13/1999,Boise,ID,US,partners,high school,customer referrals
59,Pepita Titterton,714-474-5193,ptitterton1m@tripadvisor.com,Female,07/03/1989,Anaheim,CA,US,retail,master's degree,word of mouth
60,Cole Crohan,202-756-1955,ccrohan1n@arizona.edu,Non-binary,07/08/1997,Washington,DC,US,partners,bachelor's degree,word of mouth
