id,full_name,phone,email,gender,date_of_birth,city,state,country,customer_segment,education,customer_source
1001,Brian Oggers,609-832-9795,boggers0@privacy.gov.au,Male,9/20/1971,Trenton,NJ,US,partners,bachelor's degree,affiliate marketing
1002,Nathan Hobble,215-591-3399,nhobble1@usgs.gov,Male,10/30/1970,Philadelphia,PA,US,partners,doctorate,affiliate marketing
1003,Elisha Crosier,205-596-3608,ecrosier2@linkedin.com,Male,4/24/1973,Birmingham,AL,US,government,some college,affiliate marketing
1004,Cort Manley,303-472-6634,cmanley3@unesco.org,Male,1/15/1990,Denver,CO,US,partners,some college,affiliate marketing
1005,Ferne Sans,513-137-3436,fsans4@jugem.jp,Female,6/26/1988,Cincinnati,OH,US,retail,bachelor's degree,word of mouth
1006,Clarisse Kissick,509-635-8147,ckissick5@miibeian.gov.cn,Female,10/12/2004,Spokane,WA,US,partners,high school,customer referrals
1007,Lynn Antic,804-340-0838,lantic6@wordpress.com,Male,12/24/1989,Richmond,VA,US,government,high school,social marketing
1008,Ruthanne Casterot,210-534-8216,rcasterot7@tiny.cc,Female,9/30/2007,San Antonio,TX,US,wholesale,some college,social marketing
1009,Melly Joynes,513-843-1447,mjoynes8@baidu.com,Female,1/31/1983,Cincinnati,OH,US,corporate,some college,customer referrals
1010,Eveleen Andries,585-669-3962,eandries9@ning.com,Non-binary,2/5/1978,Rochester,NY,US,government,other,affiliate marketing
1011,Almira Widdowfield,206-327-2425,awiddowfielda@businessweek.com,Female,1/19/1978,Seattle,WA,US,retail,some college,affiliate marketing
1012,Mella Clunan,559-386-0240,mclunanb@weebly.com,Polygender,8/22/2008,Fullerton,CA,US,corporate,other,social marketing
1013,Ortensia Cristofori,973-474-4857,ocristoforic@yellowbook.com,Female,3/23/1986,Newark,NJ,US,government,some college,social marketing
1014,Hayward Wearden,952-840-9774,hweardend@digg.com,Male,12/25/1988,Saint Paul,MN,US,wholesale,doctorate,affiliate marketing
1015,Kimbell McEachern,601-192-2230,kmceacherne@howstuffworks.com,Male,4/26/1990,Hattiesburg,MS,US,wholesale,master's degree,social marketing
1016,Jasun Orgill,208-585-9971,jorgillf@sphinn.com,Male,3/15/1975,Boise,ID,US,retail,some college,word of mouth
1017,Madelle Kydd,615-521-3903,mkyddg@wunderground.com,Female,4/18/1971,Nashville,TN,US,individual,bachelor's degree,word of mouth
1018,Vladimir Schohier,915-604-2034,vschohierh@instagram.com,Male,5/14/1987,El Paso,TX,US,partners,bachelor's degree,word of mouth
1019,Janis Jennings,361-811-5718,jjenningsi@webeden.co.uk,Female,12/27/1974,Corpus Christi,TX,US,retail,high school,customer referrals
1020,Jaymie Lush,281-249-8059,jlushj@nhs.uk,Male,3/11/2009,Houston,TX,US,corporate,bachelor's degree,customer referrals
1021,Oates Doumic,918-823-3234,odoumick@samsung.com,Male,10/29/1999,Tulsa,OK,US,individual,some college,customer referrals
1022,Karlyn Napolitano,501-966-8017,knapolitanol@furl.net,Female,12/20/1985,North Little Rock,AR,US,partners,bachelor's degree,word of mouth
1023,Karena Szimon,339-266-3733,kszimonm@discovery.com,Female,12/8/1975,Woburn,MA,US,retail,bachelor's degree,affiliate marketing
1024,Shirleen Dyball,805-348-0288,sdyballn@phpbb.com,Female,10/18/1982,Simi Valley,CA,US,partners,doctorate,social marketing
1025,Hermione Beevens,916-759-6229,hbeevenso@mediafire.com,Female,9/16/1989,Sacramento,CA,US,individual,master's degree,social marketing
1026,Larissa Vigietti,540-944-6280,lvigiettip@freewebs.com,Female,1/20/2008,Roanoke,VA,US,individual,high school,word of mouth
1027,Corrie Sinkinson,248-364-6927,csinkinsonq@ezinearticles.com,Male,6/17/1977,Troy,MI,US,retail,doctorate,word of mouth
